TIME ,8;1,2;1,1;2,1;8
12:00,1.3,1.1,1.3,1
12:30,1.3,1.8,0.8,1.2
13:00,1.8,2.4,0.8,1.3
13:30,1,3.7,0.6,0.8
14:00,1.2,4.4,0.7,0.9
14:30,1.8,4.1,0.7,1.1
15:00,1.4,0.8,0.7,1.2
,,,,
,,,,
,,,,
