TIME,1,2,3,4,5,6,7,8,9,
12:00,9,10,7,10,10,10,10,6,10,
12:30,8,10,10,7,8,9,9,8,9,
13:00,6,10,8,8,8,6,7,7,10,
13:30,4,10,5,6,8,4,8,9,8,
14:00,5,10,5,3,8,2,8,8,10,
14:30,4,8,5,2,9,1,9,8,10,
15:00,7,9,5,3,3,1,8,7,10,
09:30,9,9,7,10,7,9,9,8,9,
10:00,4,3,7,6,6,9,9,6,7,
10:30,7,3,8,6,5,6,8,5,5,
11:00,7,6,6,6,3,8,5,6,7,
11:30,6,7,9,6,9,9,7,6,7,
