TIME ,8;1,2;1,1;2,1;8
09:00,0.3,0.3,0.2,0.3
09:30,0.6,0.8,0.8,1.3
10:00,0.8,0.8,1.3,1.3
10:30,0.4,0.9,0.9,2
11:00,0.7,0.6,0.6,0.9
,,,,
,,,,
