TIME,1,2,3,4,5,6,7,8,9,
12:00,4,6,2,5,3,7,10,4,5,
12:30,7,6,2,5,6,3,3,3,8,
13:00,5,4,4,5,5,1,3,6,1,
13:30,6,5,3,5,2,1,2,6,6,
14:00,5,5,4,2,3,0,3,4,2,
14:30,4,2,2,2,0,0,4,3,4,
15:00,6,2,0,2,5,2,3,2,4,
09:30,3,4,3,5,2,1,1,1,7,
10:00,6,3,3,0,3,1,4,1,1,
10:30,6,9,3,3,4,1,6,4,2,
11:00,4,4,3,5,2,0,2,4,0,
11:30,8,8,6,2,4,1,1,2,2,
